Unnamed: 0,property_type,price,location,city,baths,purpose,bedrooms,Area_in_Marla
791,House,25000,Adiala Road,Rawalpindi,4,For Rent,4,5.0
792,House,8200000,Military Accounts Housing Society,Lahore,4,For Sale,4,4.0
794,House,17500000,Bahria Town,Lahore,6,For Sale,5,10.0
796,House,16000000,Shalimar Housing Scheme,Lahore,5,For Sale,5,7.0
797,House,44000000,DHA Defence,Lahore,6,For Sale,5,20.0
799,House,41000000,DHA Defence,Lahore,6,For Sale,5,20.0
800,House,26000000,Askari,Lahore,4,For Sale,4,12.0
802,House,26500000,Punjab Govt Employees Society,Lahore,7,For Sale,6,20.0
804,Flat,14500000,Askari,Lahore,5,For Sale,4,11.0
805,Flat,19700000,Askari,Lahore,4,For Sale,3,10.0
808,Flat,3600000,Khayaban-e-Amin,Lahore,2,For Sale,2,5.0
809,Flat,38000000,DHA Defence,Lahore,3,For Sale,3,9.8
810,House,29500000,DHA Defence,Lahore,5,For Sale,4,10.0
811,House,27000000,DHA Defence,Lahore,4,For Sale,3,10.0
812,House,5300000,Eden,Lahore,2,For Sale,2,3.0
814,House,42500000,DHA Defence,Lahore,6,For Sale,5,20.0
815,House,23500000,DHA Defence,Lahore,6,For Sale,4,10.0
817,House,27500000,DHA Defence,Lahore,5,For Sale,4,10.0
818,House,11500000,Bahria Town,Lahore,4,For Sale,3,5.0
819,House,7200000,Shahdara,Lahore,3,For Sale,4,7.0
821,House,39500000,DHA Defence,Lahore,6,For Sale,5,20.0
825,House,14500000,Iqbal Park,Lahore,4,For Sale,4,6.0
826,House,22500000,Bahria Town,Lahore,7,For Sale,5,12.0
827,House,27500000,DHA Defence,Lahore,5,For Sale,4,10.0
829,House,32500000,DHA Defence,Lahore,6,For Sale,5,20.0
833,House,43200000,DHA Defence,Lahore,6,For Sale,5,20.0
836,House,3900000,Baldia Town,Karachi,4,For Sale,4,2.2
837,House,21000000,Scheme 33,Karachi,4,For Sale,4,4.8
838,Flat,8500000,North Nazimabad,Karachi,2,For Sale,2,4.8
839,Flat,12900000,DHA Defence,Karachi,3,For Sale,3,6.4
840,Flat,6200000,Gulistan-e-Jauhar,Karachi,3,For Sale,3,6.0
842,House,6642000,Fazaia Housing Scheme,Karachi,3,For Sale,3,5.0
845,House,12500000,Fazaia Housing Scheme,Karachi,5,For Sale,4,11.0
846,Flat,17500000,North Nazimabad,Karachi,3,For Sale,3,7.6
849,Flat,4666000,Fazaia Housing Scheme,Karachi,2,For Sale,2,5.8
850,Flat,7960000,Fazaia Housing Scheme,Karachi,4,For Sale,3,9.8
851,Flat,10100000,Fazaia Housing Scheme,Karachi,5,For Sale,4,12.5
852,Flat,3763000,Fazaia Housing Scheme,Karachi,2,For Sale,2,5.2
853,Flat,4090000,Fazaia Housing Scheme,Karachi,2,For Sale,2,5.7
854,Flat,4797000,Fazaia Housing Scheme,Karachi,4,For Sale,3,6.7
